Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime
Star Wars: Episode VII - The Force Awakens,2015,936662225,1132859475,2069521700,"['Action', 'Adventure', 'Sci-Fi']",2 hr 18 min
Avengers: Endgame,2019,858373000,1939128328,2797501328,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",3 hr 1 min
Avatar,2009,760507625,2086738578,2847246203,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 42 min
Black Panther,2018,700426566,647171407,1347597973,"['Action', 'Adventure', 'Sci-Fi']",2 hr 14 min
Avengers: Infinity War,2018,678815482,1369544272,2048359754,"['Action', 'Adventure', 'Sci-Fi']",2 hr 29 min
Spider-Man: No Way Home,2021,675813257,868642706,1544455963,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 28 min
Titanic,1997,659363944,1542283320,2201647264,"['Drama', 'Romance']",3 hr 14 min
Jurassic World,2015,652385625,1018130819,1670516444,"['Action', 'Adventure', 'Sci-Fi']",2 hr 4 min
The Avengers,2012,623357910,895457605,1518815515,"['Action', 'Adventure', 'Sci-Fi']",2 hr 23 min
Star Wars: Episode VIII - The Last Jedi,2017,620181382,712517448,1332698830,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 32 min
Incredibles 2,2018,608581744,634507500,1243089244,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",1 hr 58 min
The Lion King,2019,543638043,1119261396,1662899439,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",1 hr 58 min
The Dark Knight,2008,534858444,471115201,1005973645,"['Action', 'Crime', 'Drama', 'Thriller']",2 hr 32 min
Rogue One: A Star Wars Story,2016,532177324,523880396,1056057720,"['Action', 'Adventure', 'Sci-Fi']",2 hr 13 min
Star Wars: Episode IX - The Rise of Skywalker,2019,515202542,558946737,1074149279,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 21 min
Beauty and the Beast,2017,504481165,769095055,1273576220,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",2 hr 9 min
Finding Dory,2016,486295561,542275381,1028570942,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 37 min
Frozen II,2019,477373578,972653355,1450026933,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 43 min
Star Wars: Episode I - The Phantom Menace,1999,474544677,552538030,1027082707,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 16 min
Star Wars: Episode IV - A New Hope,1977,460998507,195751992,775398007,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 1 min
Avengers: Age of Ultron,2015,459005868,943803672,1402809540,"['Action', 'Adventure', 'Sci-Fi']",2 hr 21 min
The Dark Knight Rises,2012,448139099,633003513,1081142612,"['Action', 'Crime', 'Drama']",2 hr 44 min
Shrek 2,2004,441226247,487534523,928760770,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 33 min
E.T. the Extra-Terrestrial,1982,435110554,304203888,792910554,"['Adventure', 'Family', 'Sci-Fi']",1 hr 55 min
Toy Story 4,2019,434038008,639356585,1073394593,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 40 min
Captain Marvel,2019,426829839,701633133,1128462972,"['Action', 'Adventure', 'Sci-Fi']",2 hr 3 min
The Hunger Games: Catching Fire,2013,424668047,440343699,865011746,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",2 hr 26 min
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642863935,1066179747,"['Action', 'Adventure', 'Fantasy']",2 hr 31 min
